Timestamp,Electric Demand (Student 010 > Electric Meter) [(kWh)],Outdoor Dew Point (Student 010 > Weather Station) [(deg. F)],Outdoor Temperature (Student 010 > Weather Station) [(deg. F)],Optimal Electric Demand kWh (Student 010 > Electric Meter) [(kWh)]
02/26/2016 02:23:59,117.3439448,-7.06,8.96,99.38996878
02/26/2016 06:23:59,159.7848068,-7.0959928,18.679984,140.6479921
02/26/2016 10:23:59,158.3760056,-11.02,24.98,139.1980055
02/26/2016 14:23:59,125.7816172,-9.04,19.94,101.3420258
02/26/2016 18:23:59,88.49040476,-5.9440112,15.8360068,84.69000367
02/26/2016 22:23:59,83.51559796,-2.560002,10.580002,70.38200416
02/27/2016 02:23:59,80.96283289,-2.02,8.96,70.19399664
02/27/2016 06:23:59,82.90596683,5.179982,26.2039932,86.53799173
02/27/2016 10:23:59,81.20528628,17.96,35.06,76.42200382
02/27/2016 14:23:59,83.96555874,23,32,68.7119996
02/27/2016 18:23:59,83.00706418,24.8360068,33.08,72.55599058
02/27/2016 22:23:59,81.92000293,20.3719976,32,70.43200182
02/28/2016 02:23:59,76.15201578,21.02,33.08,70.1039992
02/28/2016 06:23:59,74.33519794,21.02,35.06,74.74599713
02/28/2016 10:23:59,71.64560457,21.02,35.96,72.4820016
02/28/2016 14:23:59,78.7871998,21.02,35.06,71.03399953
02/28/2016 18:23:59,79.14079988,15.620002,33.620002,77.59398753
02/28/2016 22:23:59,79.09599516,8.600002,29.5880024,76.11399709
02/29/2016 02:23:59,125.927166,12.379998,20.3719976,99.8659538
02/29/2016 06:23:59,155.2176005,4.5680024,21.379998,138.9519988
02/29/2016 10:23:59,154.8791978,-0.04,23.4319976,140.024002
02/29/2016 17:11:59,99.97123236,-2.63199235,18.64400495,85.09799952
02/29/2016 21:11:59,81.52319796,-4.8640027,13.7840027,77.93800677
03/01/2016 01:11:59,98.5959483,-4,11.1559973,86.01997575
03/01/2016 05:11:59,152.9624021,-3.3519946,17.8519901,137.1579889
03/01/2016 09:11:59,154.424812,-4.9720126,25.37599505,140.2479994
03/01/2016 13:11:59,133.2624048,8.56400495,27.8240027,119.8100375
03/01/2016 17:11:59,88.90322431,6.36800765,26.06,84.09399832
03/01/2016 21:11:59,81.19840152,6.25999775,24.98,77.38600543
03/02/2016 01:11:59,95.3439465,8.06,25.1959973,86.7039767
03/02/2016 05:11:59,158.6735882,11.1559973,28.21999775,139.2659952
03/02/2016 09:11:59,162.780804,12.63199235,32.8640027,140.2960007
03/02/2016 13:11:59,138.0656206,18.64400495,27.42800765,123.5120351
03/02/2016 17:11:59,93.63922346,14.8640027,23.8640027,83.00800253
03/02/2016 21:11:59,81.35440062,5.6480054,18.64400495,75.170004
03/03/2016 01:11:59,97.56875724,-1.55199235,13.7840027,86.57397482
03/03/2016 05:11:59,156.2775928,-4.46800765,19.43599505,137.4039903
03/03/2016 09:11:59,160.5415973,-2.52400495,27.35599505,140.462
03/03/2016 13:11:59,139.2992243,6.25999775,28.3640072,117.4780362
03/03/2016 17:11:59,92.25762663,11.33599505,23,81.99800203
03/03/2016 21:11:59,82.76320891,8.96,15.80000225,71.59000488
03/04/2016 01:11:59,95.45836232,8.06,13.7840027,87.08796715
03/04/2016 05:11:59,155.05839,12.41599505,24.0079874,136.591992
03/04/2016 09:11:59,159.4792057,20.1559973,35.45599505,139.7119973
03/04/2016 13:11:59,131.6424109,20.33599505,38.62400495,115.9760407
03/04/2016 17:11:59,91.78641457,24.25999775,33.80000225,80.030001
03/04/2016 21:11:59,79.2160008,24.08,31.7840027,70.08400608
03/05/2016 01:11:59,76.09281614,21.74000225,28.6159928,68.06998937
03/05/2016 05:11:59,76.11760033,24.47599505,41.7919901,83.28999025
